站點名稱,緯度,經度,圖片,站點位置
"香山火車站","24.76316","120.91382","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/76bef51e-4a67-4275-afc7-84da1b75ad9f.jpg","中華路五段347巷2弄27號(火車站前廣場)"
"元培醫事科技大學","24.77803","120.94047","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/5350d37d-85ac-4669-b3db-a5a3d6d302cd.jpg","元培街306號(校門對面機車停車場)"
"新莊公園","24.78743","121.01736","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/540a9270-5a26-4154-90d3-e102a27b7d7d.jpg","新莊街212號(旁公園人行道)"
"東大武陵路口","24.81713","120.96398","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/730c85a5-52d3-432c-a495-ef23759815bd.jpg","東大路二段261號(旁人行道)"
"青草湖(煙波大飯店)","24.77454","120.9685","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/aaf275e8-09f9-4071-a5d1-e2e92e75e67a.jpg","明湖路773號(對側人行道)"
"新竹市文化局","24.81189","120.96888","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/b7580637-441b-47b5-b61e-9eb42254b1a9.jpg","東大路二段15巷1號前人行道"
"延平停車場","24.80379","120.95662","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/f428b4b4-2e6b-46a7-b330-38406361045d.jpg","延平路一段159巷22號(對面機車停車格)"
"北區區公所","24.81644","120.97056","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/8d7d4297-790a-4101-bf7d-558c48c85234.jpg","國華街69號(區公所前廣場)"
"金山街(集福宮)","24.77774","121.02194","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/da0f1e73-18f9-4d07-ada4-301b132d50d2.jpg","金山街63號(對面公園綠地)"
"國賓大飯店","24.80613","120.978","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/5d51d3c1-da58-4f52-8b6c-22070bc79058.jpg","中華路二段188號(前人行道)"
"赤土崎公園","24.79892","120.994","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/13770fb7-6031-430a-84c3-298415162a24.jpg","光復路二段153號(對側人行道)"
"新竹火車站(前站)","24.80239","120.97138","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/fdf4c0a0-5a02-47fd-9dae-92734ab5abf9.jpg","中正路1號(火車站前廣場)"
"東門圓環","24.80393","120.97051","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/77e5ad62-e66b-4228-aed0-7f5cdee4021f.jpg","勝利路2號(對面圓環人行道)"
"中正北大路口","24.80896","120.96696","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3637fc0d-10ca-438e-a3cd-8b45d6d55fb8.jpg","中正路146號(機車停車場)"
"遠東巨城購物中心","24.80933","120.97426","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/6f93f05b-7ba1-4820-8f2e-0bd38280c722.jpg","民權路163號(對面人行道)"
"清華大學（南大校區）","24.79429","120.96453","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/f82b7de8-6a71-48e5-a5d0-520a8691d6ce.jpg","南大路560號(對面人行道)"
"新竹動物園","24.80018","120.98126","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/886e7c77-6048-4982-a22a-ab5690efabf7.jpg","食品路62號旁"
"陽明交通大學(研三舍)","24.7843","120.99642","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/34719796-5974-43e5-b4bd-cf20256a39d2.jpg","交通大學綜合一館(南側出入口)"
"幸福城邦","24.80835","120.98668","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/e6a91173-0c85-4a21-99c5-db6c3b00f58a.jpg","東新路86號(西北側)"
"新竹高中","24.79513","120.97988","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/8c051e28-241c-4b1b-90d9-07884446f119.jpg","學府路147號(對側人行道)"
"竹蓮國小","24.79521","120.973","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/1e44a68b-ea03-4a0e-8e94-50ac6158094f.jpg","食品路301號(對側人行道)"
"一品公園","24.80361","120.98422","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/ae0bfeb9-b997-4144-83c0-5b1cbcc99e65.jpg","八德路158號(對側人行道)"
"北新竹火車站(後站)","24.8076","120.98482","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/8eb12e4f-4607-427f-998a-6cbfec75ecaa.jpg","八德路19巷/東光路口(西北側)"
"中華路一段(頭前溪左岸出入口)","24.82073","120.99443","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3495497f-6688-4c88-bf82-33439afec765.jpg","中華路一段1巷/中華路一段78巷18弄口(西北側)"
"舊社出入口停車場","24.82444","120.97919","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3b8c4031-ade9-4776-96b5-d1168cdcf7e2.jpg","湳雅街/舊社大橋下交叉口"
"古賢出入口-舊港橋下","24.84199","120.94046","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/793c6378-cf56-4d59-b148-357f47cf27b9.jpg","公道五路五段/舊港大橋下交叉口"
"港南濱海風景區","24.8225","120.91015","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/397e02ff-bb59-4a82-8b0f-08546f9b232c.jpg","海埔路600號"
"香山天后宮","24.76966","120.91399","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/c6621dde-b773-4b6b-8ed8-56c9af33b225.jpg","中華路五段420巷246號旁"
"南港賞鳥區","24.74289","120.89443","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/dffa90f1-2d3b-4832-9c38-0fab97fe4d1a.jpg","南港街52巷100之1號(對側)"
"新科國民運動中心(新科國中)","24.77937","121.02453","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/e3e6273b-fb5a-4991-9b1c-d5ab125a06fa.jpg","光復路一段89巷90號旁"
"建功高中","24.79702","121.00077","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/faa843d0-53bb-4ce6-b54a-ac8dbf8e6e8c.jpg","建功路60號(對側人行道)"
"世界高中(介壽路)","24.78121","121.02037","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/835a6260-246d-4f8f-bde4-fa330915ce99.jpg","介壽路16號旁"
"兒童探索館","24.80516","120.99283","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/89a45a56-2ac8-44dc-a596-a6689c8a7bda.jpg","公道五路二段469號前"
"台大新竹分院","24.81601","120.97953","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/34e615e1-1696-476a-8167-c4b3e0a99c45.jpg","鐵道路二段53號(對側人行道)"
"賞蟹步道","24.78398","120.91506","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/852812a0-e460-4a4b-a1ab-635d6323950d.jpg","中華路五段318號"
"育賢國中","24.79048","120.96508","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/13ea24aa-327b-4cdc-a3ff-124122043010.jpg","南大路750之1號(對側人行道)"
"民富國小","24.80753","120.95848","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/1b258dac-ee2f-4079-86b4-76a8e3dfa7f1.jpg","民富街178巷/民富街178巷23弄口"
"慈雲路停車場","24.79007","121.01066","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/de1bd058-3b78-4e30-a4b2-a34614c3e08d.jpg","龍山西路38號(對側人行道)"
"竹光國中(竹光國民運動中心)","24.80881","120.95461","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/f89660c9-d8bd-4f8b-8e33-f3745c4b670a.jpg","竹光路352號(對側人行道)"
"光武國中站(光復路)","24.78562","121.01261","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/91834258-3e23-4b8e-9a97-2a63ec6c91a5.jpg","光復路一段482號(北側)"
"關埔國小站(慈濟路)","24.78982","121.01347","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/c3cbd303-bbef-40e0-9f48-4a6ed115874f.jpg","慈濟路2號(北側)"
"關埔公園","24.79116","121.01749","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/707d3d09-b1d0-4925-bffb-f24977ab82c1.jpg","埔頂一路201號(對側公園)"
"慈濟埔頂一路口","24.79194","121.01467","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/80cc514e-102d-4036-a434-336d6c4a7a89.jpg","慈濟路/埔頂一路口(西側)"
"科園社區龍山圖書館","24.78213","121.01058","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/004cc50b-8c65-4791-8cff-da6a886fc24f.jpg","科學園路162巷5弄13號(對側人行道)"
"將軍村停車場","24.79419","121.00333","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/4c8175a1-48a4-4559-ae26-bb5e34b105ab.jpg","金城三路/金城一路口(南側)"
"經濟部經貿人員培訓所","24.79231","121.00249","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/2278b99e-1f03-4b42-a521-1b68d5159bc4.jpg","光復路二段100號(對側人行道)"
"金山十八街停車場","24.77719","121.0251","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/adc134fe-a84e-4088-9893-08c5eb72ca7d.jpg","金山十八街/金山北二街口(東南側)"
"公道五交流道口","24.7987","121.00598","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/e43208f4-042e-40bf-b95f-7a6f2275d920.jpg","公道五路二段101號"
"清大夜市","24.79848","120.99746","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3ce51119-b4a7-4b15-aa06-4522ef0382d6.jpg","建新路/建功一路口(西南側)"
"工研院光復院區","24.80059","120.98809","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/2948581f-4f57-4d3d-994b-e108792672cd.jpg","光復路二段321號"
"芙洛麗大飯店(新竹女中)","24.80676","120.97522","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/9735c73b-6737-4707-b8c6-23ceeee4e906.jpg","民族路69號(西側)"
"公道五建中路口","24.80335","120.99651","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/379e074e-8fb7-4c8a-828a-09a92c6e390a.jpg","公道五路二段/建中路口(東側)"
"明湖里社區公園","24.7685","120.97718","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/a528875a-a46c-487e-8fcf-9a9f9561a92f.jpg","明湖路1008巷/明湖路1008巷6弄口(東側)"
"舊社國小","24.82323","120.97324","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/baf039fb-506c-46f1-b413-92fb3ae48290.jpg","金竹路98號(對側人行道)"
"光華國中","24.81949","120.97289","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/2637fd15-5f97-4234-8ddf-c0fa07e19607.jpg","湳雅街/湳雅街126巷22弄口(南側)"
"中正成功路口","24.8161","120.95694","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/371fb6dd-9dc4-4407-8584-2b5acd52cd54.jpg","成功路/成功路13巷口(西側)"
"延平竹光路口","24.80516","120.95095","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/fce20e83-c20b-4971-91c5-068f956ac71b.jpg","竹光路/延平路一段口(西側)"
"長和公園","24.80822","120.96436","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/a1994210-bddb-4bc6-b287-311635926313.jpg","愛文街11巷11號(對側)"
"虎林國小","24.80558","120.94032","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/491dc3ca-c855-45ca-8bc5-fae0c7be0e86.jpg","延平路二段80巷/虎林街32巷口(東南側)"
"玄奘大學","24.77501","120.944","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/1a17076b-be43-41de-b1dc-e0146b42f64e.jpg","玄奘路48號"
"埔前市民活動中心","24.79706","120.94198","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/dd880e8a-f425-4fc2-bbfe-36335dd68632.jpg","牛埔路446號"
"陽明交通大學(博愛校區)","24.79851","120.98308","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/2eb865b2-3fb3-4318-a56e-f4a97124c7ef.jpg","博愛街75號(西側)"
"經國自由路口","24.81405","120.97991","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/9e5546d5-cc78-44c9-813a-3ca05cadeee2.jpg","自由路/經國路一段口(東南側)"
"新竹火車站(前站)_1","24.80189","120.97099","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/0ff9ba1c-6c37-42b0-ab77-7edd4538ebe4.jpg","林森路/中華路二段口(北側)"
"新竹市環境保護局(南寮溫水游泳池)","24.8351","120.91986","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/e0870f4d-84af-41ea-8148-0e5d32030569.jpg","海濱路240-1號"
"金雅市民活動中心","24.82538","120.96652","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/f4be2b55-8a6e-4f25-9bb9-53a30c93e793.jpg","金雅六街28號"
"磐石高中","24.80923","120.9566","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/0f3a289c-5f78-4174-add6-814e90d0516b.jpg","磐石路/西大路681巷口(東側)"
"新竹神社遺址(成德高中)","24.79283","120.95249","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/bf5dcfb6-15d2-43fe-ad13-5f86fdb17984.jpg","崧嶺路/崧嶺路120巷口(西南側)"
"香山區行政大樓","24.79398","120.94227","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/cd3bef2d-3c2b-40ce-97b9-7d1a59076d2b.jpg","育德街188號"
"慈濟新竹靜思堂","24.78465","120.92026","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/b4a0c17b-8ba4-4e6d-865b-dfe8fa83a5ce.jpg","中華路五段/中華路五段208巷口(西側)"
"新竹馬偕紀念醫院(水源街)","24.80018","120.99128","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/1cefb60b-30e2-4962-ace6-8e1b810550a7.jpg","光復路二段690號(水源街對面公園人行道)"
"中華大學","24.75705","120.95301","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3a4ab0c0-7c70-413c-9d5e-6ae58f3f5b56.jpg","五福路二段707號"
